metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
ZILLOW_DEV_FOR_SALE_NEW_LISTINGS,zillow_for_sale_new_listings_zip_monthly_observe,Zillow for-sale new listings ZIP monthly (Transform.Dev),supply_pipeline,housing,zip,monthly,count,positive,TRUE,vendor_stated,NEW_LISTINGS,TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_INVENTORY_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_DEV_FOR_SALE_PENDING_SALES,zillow_for_sale_pending_sales_zip_monthly_observe,Zillow for-sale pending sales ZIP monthly (Transform.Dev),absorption,housing,zip,monthly,count,positive,TRUE,vendor_stated,PENDING_SALES,TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_INVENTORY_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_2A285438,zillow__fact_zillow_for_sale_listings__metric_value,METRIC_VALUE — FACT_ZILLOW_FOR_SALE_LISTINGS (25 catalog metrics),supply_pipeline,housing,cbsa,monthly,count,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_LISTINGS,0,1900-01-01,Collapsed 25 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_CD18416A,zillow__fact_zillow_home_values__metric_value,METRIC_VALUE — FACT_ZILLOW_HOME_VALUES (45 catalog metrics),home_price,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_HOME_VALUES,0,1900-01-01,Collapsed 45 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_394DA534,zillow__fact_zillow_home_values_forecasts__metric_value,METRIC_VALUE — FACT_ZILLOW_HOME_VALUES_FORECASTS (4 catalog metrics),home_price,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_HOME_VALUES_FORECASTS,0,1900-01-01,Collapsed 4 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_DEV_HOUSING_INVENTORY_METRIC,zillow_housing_inventory_metric_zip_monthly_observe,Zillow housing inventory long metric ZIP monthly (Transform.Dev),supply_pipeline,housing,zip,monthly,varies,neutral,TRUE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_ZILLOW_HOUSING_INVENTORY_METRIC_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_FAM_261AD1F94AAC,zillow_market_heat_index_market_heat_index_market_heat_index_all_homes_monthly_metro_us,Zillow MARKET_HEAT_INDEX__MARKET_HEAT_INDEX_ALL_HOMES_MONTHLY__METRO_US,supply_pipeline,housing,cbsa,monthly,index,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_MARKET_HEAT_INDEX,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_4738FB01,zillow__fact_zillow_new_construction__metric_value,METRIC_VALUE — FACT_ZILLOW_NEW_CONSTRUCTION (4 catalog metrics),home_price,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_NEW_CONSTRUCTION,0,1900-01-01,Collapsed 4 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_2B4ACE07,zillow__fact_zillow_rentals__metric_value,METRIC_VALUE — FACT_ZILLOW_RENTALS (15 catalog metrics),rent,housing,cbsa,monthly,usd,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_RENTALS,0,1900-01-01,Collapsed 15 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_05554D8A,zillow__fact_zillow_rental_forecasts__metric_value,METRIC_VALUE — FACT_ZILLOW_RENTAL_FORECASTS (2 catalog metrics),rent,housing,national,monthly,usd,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_RENTAL_FORECASTS,0,1900-01-01,Collapsed 2 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_8C5F52FB,zillow__fact_zillow_sales__metric_value,METRIC_VALUE — FACT_ZILLOW_SALES (34 catalog metrics),home_price,housing,cbsa,monthly,pct,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_SALES,0,1900-01-01,Collapsed 34 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_052,rent_median_psf_zip_monthly_planned,Rent median PSF ZIP monthly (planned),rent,housing,zip,monthly,usd,positive,FALSE,vendor_stated,RENT_PSF_MEDIAN,TRANSFORM.DEV.TBD_RENT_PSF_ZIP_MONTHLY,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_110,zillow_affordability_observe,Fact Zillow Affordability (Transform.Dev),home_price,housing,zip,monthly,varies,neutral,FALSE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.fact_zillow_affordability,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_111,zillow_home_values_observe,Fact Zillow Home Values (Transform.Dev),home_price,housing,zip,monthly,varies,neutral,FALSE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.fact_zillow_home_values,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_112,zillow_home_values_forecasts_observe,Fact Zillow Home Values Forecasts (Transform.Dev),home_price,housing,zip,monthly,varies,neutral,FALSE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.fact_zillow_home_values_forecasts,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_113,zillow_market_heat_index_observe,Fact Zillow Market Heat Index (Transform.Dev),home_price,housing,zip,monthly,varies,neutral,FALSE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.fact_zillow_market_heat_index,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_114,zillow_new_construction_observe,Fact Zillow New Construction (Transform.Dev),supply_pipeline,housing,zip,monthly,varies,neutral,FALSE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.fact_zillow_new_construction,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_115,zillow_rental_forecasts_observe,Fact Zillow Rental Forecasts (Transform.Dev),rent,housing,zip,monthly,varies,neutral,FALSE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.fact_zillow_rental_forecasts,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
MET_116,zillow_sales_observe,Fact Zillow Sales (Transform.Dev),transactions,housing,zip,monthly,varies,neutral,FALSE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.fact_zillow_sales,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_ZHVI_MEDIAN,zillow_zhvi_median_zip_monthly,Zillow ZHVI median — ZIP monthly,home_price,housing,zip,monthly,usd,neutral,TRUE,vendor_stated,VALUE,TRANSFORM_PROD.FACT.FACT_ZILLOW_ZIP_TS,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
