vendor_id,vendor_code,vendor_label,definition,data_type,refresh_cadence,contract_status,source_schema,is_active,contract_expiry_date,data_share_type,vertical_codes
VND_026,tax_foundation,Tax Foundation,Tax Foundation property tax rates by county and state covering effective rates and collections,administrative,annual,active,RAW.TAX_FOUNDATION,TRUE,,s3,
VND_027,bankrate,Bankrate,Bankrate homeowners insurance rate estimates by state,survey,annual,active,RAW.BANKRATE,TRUE,,s3,
VND_028,quadrant,Quadrant Information Services,Quadrant insurance rate data by state used for underwriting expense modeling,survey,annual,active,RAW.QUADRANT,TRUE,,s3,
VND_029,sp_global,S&P Global,S&P Global rent vs own cost comparison at national grain,survey,annual,active,RAW.SP_GLOBAL,TRUE,,api,
VND_030,yardi,Yardi Systems,Yardi property management operational data covering unit occupancy lease rent payments and work orders for Progress and BH portfolios,operational,daily,active,SOURCE_ENTITY.PROGRESS,TRUE,,snowflake_share,resi
VND_031,salesforce,Salesforce,Salesforce CRM data covering opportunities accounts and property records for Progress pipeline,operational,daily,active,SOURCE_ENTITY.PROGRESS,TRUE,,snowflake_share,resi
VND_032,funnel,Funnel Leasing,Funnel property management platform data for BH Living covering leasing pipeline units applicants and online leasing transactions,operational,daily,active,SOURCE_ENTITY.BH,TRUE,,snowflake_share,resi
VND_033,anchor_loans,Anchor Loans,Anchor Loans deal pipeline and active loan portfolio for RED vertical,operational,monthly,active,SOURCE_ENTITY.ANCHOR_LOANS,TRUE,,manual,red
VND_034,selene,Selene Finance,Selene Finance servicer-level property data for RED mortgage servicing portfolio,operational,monthly,active,SOURCE_ENTITY.SELENE,TRUE,,manual,red
VND_035,preqin,Preqin,Preqin private markets news and intelligence data,survey,daily,active,RAW.NEWS,TRUE,,api,
VND_036,education_nces,NCES — National Center for Education Statistics,K-12 public school data from EDGE and CCD covering school locations characteristics enrollment and geocoded addresses,administrative,annual,active,RAW.EDUCATION,TRUE,,s3,
VND_037,nhpd,National Housing Preservation Database,NHPD affordable housing inventory covering federally assisted properties HUD programs and Low Income Housing Tax Credit projects,administrative,annual,active,RAW.NHPD,TRUE,,s3,
VND_038,cps_nber,NBER / CPS,Current Population Survey microdata accessed via NBER covering household demographics labor force status and income,administrative,monthly,active,RAW.NBER,TRUE,,s3,
VND_039,lehd,US Census Bureau — LEHD,LEHD LODES origin-destination employment statistics at block grain covering jobs by industry and worker characteristics,administrative,annual,active,RAW.LEHD,TRUE,,s3,
VND_040,internal,Pretium Internal,Pretium-generated derived datasets including governance audit tables portfolio footprint and news intelligence,operational,daily,active,TRANSFORM.FACT,TRUE,,manual,
VND_041,bea,Bureau of Economic Analysis,BEA regional and national economic accounts (GDP personal income RPP employment-by-industry). Not Cybersyn; register metrics against BEA-native or Pretium-typed FACT paths when landed,administrative,quarterly,active,RAW.BEA,TRUE,,s3,
VND_042,cybersyn,Cybersyn (Snowflake share),Snowflake Marketplace Cybersyn republisher objects in SOURCE_SNOW / GLOBAL_GOVERNMENT share paths; underlying statistical agency is given separately on catalog mapping rows,administrative,varies,active,SOURCE_SNOW.GLOBAL_GOVERNMENT,TRUE,,snowflake_share,
VND_043,irs,IRS / U.S. Treasury,Tax Statistics of Income migration and filings as surfaced through Cybersyn GLOBAL_GOVERNMENT tables,administrative,annual,active,RAW.IRS,TRUE,,s3,
VND_044,fbi,FBI — UCR / Crime,FBI Uniform Crime Reporting and related crime statistics as surfaced through Cybersyn tables,administrative,annual,active,RAW.FBI,TRUE,,s3,
VND_045,fhfa,FHFA,Federal Housing Finance Agency house price index mortgage performance and appraisal series,administrative,quarterly,active,RAW.FHFA,TRUE,,s3,
VND_046,fdic,FDIC,FDIC Summary of Deposits and institution/branch reference as surfaced through Cybersyn tables,administrative,quarterly,active,RAW.FDIC,TRUE,,s3,
VND_047,usps,USPS,United States Postal Service address change and postal geography-adjacent feeds,administrative,monthly,active,RAW.USPS,TRUE,,s3,
VND_048,nws,NOAA / NWS,National Weather Service forecasts alerts and station metrics as surfaced through Cybersyn tables,administrative,daily,active,RAW.NOAA,TRUE,,api,
VND_049,freddie_mac,Freddie Mac,Freddie Mac housing and mortgage performance series,administrative,monthly,active,RAW.FREDDIE_MAC,TRUE,,s3,
VND_050,cfpb,CFPB — HMDA,Consumer Financial Protection Bureau Home Mortgage Disclosure Act and related complaint feeds,administrative,annual,active,RAW.CFPB,TRUE,,s3,
VND_051,stanford,Stanford SEDA,Stanford Education Data Archive county and district achievement SES and enrollment measures on SOURCE_PROD.STANFORD parquet,administrative,annual,active,SOURCE_PROD.STANFORD,TRUE,,s3,
VND_052,rates,Pretium rates payload,Curated national daily macro rates CPI treasury and breakeven series from SOURCE_PROD.RATES flattened to TRANSFORM.DEV,administrative,daily,active,SOURCE_PROD.RATES,TRUE,,s3,
VND_053,yardi_matrix,Yardi Matrix,Yardi Matrix multifamily market performance and submarket crosswalk feeds under TRANSFORM.DEV or TRANSFORM.YARDI_MATRIX,survey,monthly,active,RAW.YARDI_MATRIX,TRUE,,snowflake_share,resi
