dataset_id,dataset_code,dataset_label,definition,vendor_code,concept_code,geo_level_code,frequency_code,source_schema,pipeline_status,coverage_pct,first_vintage,is_active,data_status_code,is_motherduck_served,last_refresh_date,opco_code,product_type_codes
DS_011,bls_qcew_county_quarterly,BLS QCEW (County),Quarterly Census of Employment and Wages at county × 2-digit NAICS × quarter. Raw SOURCE_PROD.BLS.QCEW_COUNTY_RAW; semantic FACT **`TRANSFORM.DEV.FACT_BLS_QCEW_COUNTY_NAICS_QUARTERLY`** (replaces legacy `CLEANED_QCEW_COUNTY_NAICS` naming).,bls,employment,county,quarterly,SOURCE_PROD.BLS,transform_dev,99.0,1990-01-01,TRUE,active,FALSE,,,
DS_012,bls_oes_msa_annual,BLS OES (MSA),Occupational Employment and Wage Statistics at MSA grain. TRANSFORM.BLS.OES_MSA promoted,bls,employment,cbsa,annual,TRANSFORM.BLS,transform_ready,95.0,2015-01-01,TRUE,active,FALSE,,,
DS_013,fred_rates_daily,FRED Economic Series,FRED macro economic series covering treasury yields and mortgage rates,fred,cap_rate,national,daily,SOURCE_PROD.FRED,source_prod_only,100.0,2000-01-01,TRUE,active,FALSE,,,
DS_014,hud_fmr_zip_annual,HUD Fair Market Rents (ZIP),HUD SAFMR at ZIP grain. TRANSFORM.DEV.HUD_SAFMR_ZIP_MONTHLY_CLEANED exists,hud,rent,zip,annual,TRANSFORM.DEV,transform_dev,98.0,2006-01-01,TRUE,active,FALSE,,,
DS_015,hud_fmr_county_annual,HUD Fair Market Rents (County),HUD FMR at county grain. TRANSFORM.DEV.HUD_FMR_COUNTY_MONTHLY_CLEANED exists,hud,rent,county,annual,TRANSFORM.DEV,transform_dev,99.0,2006-01-01,TRUE,active,FALSE,,,
DS_016,fema_nri_county_annual,FEMA National Risk Index (County),FEMA NRI composite and per-hazard risk scores at county grain. TRANSFORM.DEV.FACT_FEMA_NRI_COUNTY has 3231 rows,fema,vacancy,county,annual,TRANSFORM.DEV,transform_dev,99.0,2020-01-01,TRUE,active,FALSE,,,
DS_017,redfin_zip_monthly,Redfin Housing Market (ZIP),Redfin market metrics at ZIP grain. TRANSFORM.REDFIN.REDFIN_ZIPCODE_MARKET_TRACKER_LATEST promoted 9.5M rows,redfin,home_price,zip,monthly,TRANSFORM.REDFIN,transform_ready,93.0,2012-01-01,TRUE,active,FALSE,,,
DS_018,redfin_county_monthly,Redfin Housing Market (County),Redfin market metrics at county grain. TRANSFORM.REDFIN.REDFIN_COUNTY_MARKET_TRACKER_LATEST promoted 1.3M rows,redfin,home_price,county,monthly,TRANSFORM.REDFIN,transform_ready,95.0,2012-01-01,TRUE,active,FALSE,,,
DS_019,redfin_msa_monthly,Redfin Housing Market (MSA),Redfin market metrics at MSA grain. TRANSFORM.REDFIN.REDFIN_METRO_MARKET_TRACKER_LATEST promoted 568K rows,redfin,home_price,cbsa,monthly,TRANSFORM.REDFIN,transform_ready,95.0,2012-01-01,TRUE,active,FALSE,,,
DS_020,zillow_home_values_monthly,Zillow Home Values (All Grains),Zillow ZHVI and home value metrics. TRANSFORM.DEV.FACT_ZILLOW_HOME_VALUES has 90.7M rows,zillow,home_price,zip,monthly,TRANSFORM.DEV,transform_dev,90.0,2000-01-01,TRUE,active,FALSE,,,
DS_021,zillow_rentals_monthly,Zillow ZORI Rentals (All Grains),Zillow ZORI rent index. TRANSFORM.DEV.FACT_ZILLOW_RENTALS has 1.8M rows; ZORI CBSA cleaned tables exist,zillow,rent,cbsa,monthly,TRANSFORM.DEV,transform_dev,75.0,2015-01-01,TRUE,active,FALSE,,,
DS_022,zillow_for_sale_monthly,Zillow For-Sale Listings,Zillow for-sale listing metrics. TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_LISTINGS 4.7M rows,zillow,vacancy,zip,monthly,TRANSFORM.DEV,transform_dev,85.0,2015-01-01,TRUE,active,FALSE,,,
DS_023,realtor_inventory_zip_monthly,Realtor.com Inventory (ZIP),Realtor.com active listing inventory at ZIP grain,realtor,vacancy,zip,monthly,SOURCE_PROD.REALTOR,source_prod_only,85.0,2016-01-01,TRUE,active,FALSE,,,
DS_024,realtor_inventory_msa_monthly,Realtor.com Inventory (MSA),Realtor.com inventory and hotness index at MSA grain,realtor,vacancy,cbsa,monthly,SOURCE_PROD.REALTOR,source_prod_only,95.0,2016-01-01,TRUE,active,FALSE,,,
DS_025,cherre_mls_listing_events,Cherre MLS Listing Events,Cherre MLS listing events at property grain. TRANSFORM.CHERRE.MLS_LISTING_EVENTS 869M rows promoted,cherre,home_price,property,monthly,TRANSFORM.CHERRE,transform_ready,90.0,2015-01-01,TRUE,active,FALSE,,,
DS_026,cherre_recorder_sales,Cherre Recorder Sales,Cherre recorder deed sale transactions. TRANSFORM.CHERRE.RECORDER_V2 600M rows promoted,cherre,cap_rate,property,monthly,TRANSFORM.CHERRE,transform_ready,85.0,2010-01-01,TRUE,active,FALSE,,,
DS_027,cherre_recorder_mortgages,Cherre Recorder Mortgages,Cherre recorder mortgage transactions. TRANSFORM.CHERRE.RECORDER_MORTGAGE_V2 358M rows promoted,cherre,ltv,property,monthly,TRANSFORM.CHERRE,transform_ready,85.0,2010-01-01,TRUE,active,FALSE,,,
DS_028,cherre_tax_assessor_property,Cherre Tax Assessor (Property),Cherre tax assessor parcel attributes and ownership. TRANSFORM.CHERRE.TAX_ASSESSOR_V2 162M rows promoted,cherre,home_price,property,annual,TRANSFORM.CHERRE,transform_ready,99.0,2010-01-01,TRUE,active,FALSE,,,
DS_029,cherre_avm_property_monthly,Cherre AVM (Property),Cherre automated valuation model. TRANSFORM.CHERRE.USA_AVM_V2 6.7B rows promoted,cherre,home_price,property,monthly,TRANSFORM.CHERRE,transform_ready,90.0,2015-01-01,TRUE,active,FALSE,,,
DS_030,cherre_demographics_tract,Cherre Demographics (Tract),Cherre USA demographics at tract grain. TRANSFORM.CHERRE.USA_DEMOGRAPHICS_V2 4.4M rows promoted,cherre,income,county,annual,TRANSFORM.CHERRE,transform_ready,99.0,2015-01-01,TRUE,active,FALSE,,,
DS_031,bkfs_loan_monthly,BKFS Loan-Level (McDash),Black Knight McDash loan-level mortgage data,bkfs,ltv,property,monthly,SOURCE_PROD.BKFS,source_prod_only,99.0,2000-01-01,TRUE,active,FALSE,,,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_032,bkfs_property_monthly,BKFS Property Dataset,Black Knight property-level attributes and valuation,bkfs,home_price,property,monthly,SOURCE_PROD.BKFS,source_prod_only,99.0,2000-01-01,TRUE,active,FALSE,,,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_033,costar_scenarios_cbsa_quarterly,CoStar Market Scenarios,CoStar scenario market projections. TRANSFORM.COSTAR.SCENARIOS 318K rows promoted; MF DataExport in DEV,costar,rent,cbsa,quarterly,TRANSFORM.COSTAR,transform_ready,85.0,2005-01-01,TRUE,active,FALSE,,,
DS_034,costar_mf_market_cbsa_quarterly,CoStar MF Market DataExport (CBSA),CoStar multifamily market export 63 metrics. TRANSFORM.DEV.FACT_COSTAR_CBSA_MONTHLY 318K rows,costar,rent,cbsa,quarterly,TRANSFORM.DEV,transform_dev,85.0,2010-01-01,TRUE,active,FALSE,,,
DS_035,markerr_rent_property_monthly,Markerr RealRent (Property),Markerr property-level rent. TRANSFORM.MARKERR.RENT_PROPERTY 1.6B rows and RENT_PROPERTY_MONTHLY 583K rows promoted,markerr,rent,property,monthly,TRANSFORM.MARKERR,transform_ready,80.0,2015-01-01,TRUE,active,FALSE,,,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_036,markerr_rent_listings_monthly,Markerr RealRent Listings,Markerr rent listings. TRANSFORM.MARKERR.RENT_LISTINGS 298M rows promoted,markerr,rent,property,monthly,TRANSFORM.MARKERR,transform_ready,80.0,2015-01-01,TRUE,active,FALSE,,,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_037,markerr_rent_sfr_monthly,Markerr RealRent SFR,Markerr SFR rent data. TRANSFORM.MARKERR.MARKERR_RENT_SFR 1.6M rows promoted,markerr,rent,property,monthly,TRANSFORM.MARKERR,transform_ready,80.0,2015-01-01,TRUE,active,FALSE,,,"btr,sf_scattered,townhome,duplex_quadplex"
DS_038,markerr_crime_annual,Markerr Crime Index,Markerr crime index. TRANSFORM.MARKERR.CRIME_LATEST 463K rows promoted,markerr,crime,county,annual,TRANSFORM.MARKERR,transform_ready,85.0,2015-01-01,TRUE,active,FALSE,,,
DS_039,markerr_schools_latest,Markerr Schools,Markerr school quality data. TRANSFORM.MARKERR.SCHOOLS_LATEST 62K rows promoted,markerr,school_quality,county,annual,TRANSFORM.MARKERR,transform_ready,85.0,2015-01-01,TRUE,active,FALSE,,,
DS_040,markerr_mf_permits_zip_monthly,Markerr MF Permits (ZIP),Markerr multifamily permits at ZIP grain. TRANSFORM.MARKERR.MF_PERMITS_ZIP 5.2M rows promoted,markerr,permits,zip,monthly,TRANSFORM.MARKERR,transform_ready,85.0,2015-01-01,TRUE,active,FALSE,,,
DS_041,zonda_btr_h3_monthly,Zonda BTR (H3-R8),Zonda BTR project data at H3 resolution. TRANSFORM.ZONDA.BTR_H3_R8 7.6K rows promoted,zonda,supply_pipeline,zip,monthly,TRANSFORM.ZONDA,transform_ready,80.0,2015-01-01,TRUE,active,FALSE,,,"btr,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_042,zonda_sfr_h3_monthly,Zonda SFR (H3-R8),Zonda SFR starts and closings at H3 resolution. TRANSFORM.ZONDA.SFR_H3_R8 7K rows promoted,zonda,permits,zip,monthly,TRANSFORM.ZONDA,transform_ready,85.0,2010-01-01,TRUE,active,FALSE,,,
DS_043,zonda_survey_historical,Zonda BTR Survey Historical,Zonda BTR survey occupancy and rent. TRANSFORM.ZONDA.SURVEY_HISTORICAL 5.6M rows promoted,zonda,occupancy,cbsa,quarterly,TRANSFORM.ZONDA,transform_ready,75.0,2018-01-01,TRUE,active,FALSE,,,"btr,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_044,parcllabs_ownership_cbsa_monthly,Parcl Labs SFR Ownership (CBSA),Parcl Labs institutional ownership metrics,parcllabs,vacancy,cbsa,monthly,SOURCE_PROD.PARCLLABS,source_prod_only,90.0,2018-01-01,TRUE,active,FALSE,,,"btr,sf_scattered"
DS_045,parcllabs_market_zip_monthly,Parcl Labs Market Data (ZIP),Parcl Labs demand pricing and supply at ZIP grain,parcllabs,home_price,zip,monthly,SOURCE_PROD.PARCLLABS,source_prod_only,85.0,2018-01-01,TRUE,active,FALSE,,,
DS_046,green_street_hpa_cbsa_quarterly,Green Street HPA Scenarios (CBSA),Green Street home price appreciation scenarios,green_street,home_price,cbsa,quarterly,SOURCE_PROD.GREEN_STREET,source_prod_only,80.0,2010-01-01,TRUE,active,FALSE,,,
DS_047,green_street_projections_cbsa_quarterly,Green Street Market Projections (CBSA),Green Street multifamily rent vacancy and cap rate projections,green_street,rent,cbsa,quarterly,SOURCE_PROD.GREEN_STREET,source_prod_only,80.0,2010-01-01,TRUE,active,FALSE,,,
DS_048,green_street_macro_rates_daily,Green Street Macro Rates,Green Street macro interest rate and cap rate series,green_street,cap_rate,national,daily,SOURCE_PROD.GREEN_STREET,source_prod_only,100.0,2010-01-01,TRUE,active,FALSE,,,
DS_049,oxford_amreg_cbsa_quarterly,Oxford Economics AMREG (CBSA),Oxford AMREG at Pretium CBSA grain on TRANSFORM.DEV.FACT_OXFORD_AMREG_QUARTERLY (MSA × REF_OXFORD_METRO_CBSA join; metric_id AMREG_+Indicator_code). Source SOURCE_ENTITY.PRETIUM.AMREG; crosswalk TRANSFORM.DEV.OXFORD_CBSA_CROSSWALK via dbt ref_oxford_metro_cbsa,oxford_economics,rent,cbsa,quarterly,SOURCE_ENTITY.PRETIUM,transform_dev,90.0,2000-01-01,TRUE,active,FALSE,,,
DS_050,oxford_wdmarco_cbsa_quarterly,Oxford Economics WDMARCO (National macro),Oxford WDMARCO national macro on TRANSFORM.DEV.FACT_OXFORD_WDMARCO_QUARTERLY (geo_id USA; id_cbsa null; metric_id WDMARCO_+Indicator_code). SOURCE_ENTITY.PRETIUM.WDMARCO — dataset_code legacy name retained,oxford_economics,employment,national,quarterly,SOURCE_ENTITY.PRETIUM,transform_dev,90.0,2000-01-01,TRUE,active,FALSE,,,
DS_051,jbrec_sfr_cbsa_monthly,JBREC SFR Metro Data,John Burns SFR market data at CBSA grain. TRANSFORM.DEV.JBREC_BTR_RENT_OCCUPANCY_CLEANED exists for BTR,jbrec,home_price,cbsa,monthly,SOURCE_PROD.JBREC,source_prod_only,85.0,2012-01-01,TRUE,active,FALSE,,,"btr,sf_scattered,townhome,duplex_quadplex"
DS_052,jbrec_btr_cbsa_quarterly,JBREC BTR Data,John Burns BTR rent and occupancy. TRANSFORM.DEV.JBREC_BTR_RENT_OCCUPANCY_CLEANED 3.3K rows,jbrec,rent,cbsa,quarterly,TRANSFORM.DEV,transform_dev,75.0,2015-01-01,TRUE,active,FALSE,,,"btr,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_053,jbrec_mf_cbsa_quarterly,JBREC Multifamily Data,John Burns multifamily rent occupancy and cap rates,jbrec,rent,cbsa,quarterly,SOURCE_PROD.JBREC,source_prod_only,80.0,2012-01-01,TRUE,active,FALSE,,,"mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_054,cotality_crime_school_tract_annual,Cotality Crime & School (Tract),Cotality crime and school quality at tract grain,cotality,crime,county,annual,SOURCE_PROD.COTALITY,source_prod_only,95.0,2015-01-01,TRUE,active,FALSE,,,
DS_055,apartmentiq_bh_property_monthly,ApartmentIQ — BH Living (Property),ApartmentIQ BH competitive KPI data. TRANSFORM.APARTMENTIQ has PROPERTYKPI_BH 28K rows and UNITKPI_BH 946K rows promoted,apartmentiq,occupancy,property,monthly,TRANSFORM.APARTMENTIQ,transform_ready,85.0,2020-01-01,TRUE,active,FALSE,,bh,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_056,overture_places_national,Overture Maps Places,Overture POI data. TRANSFORM.OVERTURE.PLACES 72.8M rows promoted,overture,school_quality,property,annual,TRANSFORM.OVERTURE,transform_ready,100.0,2023-01-01,TRUE,active,FALSE,,,
DS_057,first_street_climate_risk,First Street Climate Risk,First Street property climate risk. TRANSFORM.FIRST_STREET.CLIMATE_RISK 123K rows promoted; also historic fire/flood/wind events,first_street,vacancy,property,annual,TRANSFORM.FIRST_STREET,transform_ready,90.0,2020-01-01,TRUE,active,FALSE,,,
DS_058,epoch_ai_models_annual,Epoch AI Model Capabilities,Epoch AI frontier model benchmark registry,epoch_ai,employment,national,annual,SOURCE_PROD.EPOCH_AI,source_prod_only,100.0,2022-01-01,TRUE,active,FALSE,,,
DS_059,apartment_list_cbsa_monthly,Apartment List Rent & Vacancy (CBSA),Apartment List rent estimates and vacancy index,apartment_list,rent,cbsa,monthly,SOURCE_PROD.APARTMENT_LIST,source_prod_only,90.0,2017-01-01,TRUE,active,FALSE,,,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_060,tax_foundation_county_annual,Tax Foundation Property Taxes (County),Tax Foundation effective property tax rates. TRANSFORM.DEV.FACT_TAX_FOUNDATION_COUNTY 3.1K rows,tax_foundation,cap_rate,county,annual,TRANSFORM.DEV,transform_dev,99.0,2020-01-01,TRUE,active,FALSE,,,
DS_061,bankrate_insurance_state_annual,Bankrate Insurance Rates (State),Bankrate homeowners insurance rate estimates by state. TRANSFORM.DEV.FACT_INSURANCE_COST_STATE 51 rows,bankrate,cap_rate,state,annual,TRANSFORM.DEV,transform_dev,100.0,2020-01-01,TRUE,active,FALSE,,,
DS_062,quadrant_insurance_state_annual,Quadrant Insurance Rates (State),Quadrant insurance rate data by state. Merged with Bankrate in TRANSFORM.DEV.FACT_INSURANCE_COST_STATE,quadrant,cap_rate,state,annual,TRANSFORM.DEV,transform_dev,100.0,2020-01-01,TRUE,active,FALSE,,,
DS_063,yardi_progress_property_daily,Yardi — Progress Residential,"Jon silver TRANSFORM.YARDI (*_PROGRESS). Alex TRANSFORM.DEV FACT_PROGRESS_YARDI_* pilot (batch 012) — not full Yardi migration. Governance: T-VENDOR-YARDI-READY pending §1.5; archive inventory CSVs under docs/migration/artifacts/batch012_yardi/. Row-count notes in definition are indicative — refresh from §C after export.",yardi,occupancy,property,monthly,TRANSFORM.YARDI,transform_dev,100.0,2015-01-01,TRUE,active,FALSE,,progress,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_064,yardi_bh_property_daily,Yardi — BH Living,"Jon silver TRANSFORM.YARDI (*_BH). Alex TRANSFORM.DEV FACT_BH_YARDI_* pilot (batch 012). Ledger: set **`yardi_trans_bh_available: true`** to read **`TRANS_BH`**; else legacy **`yardi_bh`** with **`yardi_bh_available: true`**. T-VENDOR-YARDI-READY pending §1.5; artifacts docs/migration/artifacts/batch012_yardi/.",yardi,occupancy,property,monthly,TRANSFORM.YARDI,transform_dev,100.0,2018-01-01,TRUE,active,FALSE,,bh,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_065,yardi_matrix_bh_monthly,Yardi Matrix — BH Living,Yardi Matrix market performance data for BH. TRANSFORM.YARDI_MATRIX.MARKETPERFORMANCE_BH 1.2M rows promoted,yardi,rent,cbsa,monthly,TRANSFORM.YARDI_MATRIX,transform_ready,85.0,2019-01-01,TRUE,active,FALSE,,bh,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_066,funnel_bh_unit_daily,Funnel Leasing — BH Living,Funnel leasing platform data for BH. SOURCE_PROD.FUNNEL has only metric catalog — no raw data landed; ingestion pipeline broken,funnel,occupancy,property,monthly,SOURCE_PROD.FUNNEL,blocked,100.0,2019-01-01,FALSE,blocked,FALSE,,bh,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_067,anchor_loans_portfolio_monthly,Anchor Loans Portfolio,Anchor Loans deal pipeline and active loan portfolio,anchor_loans,ltv,property,monthly,SOURCE_ENTITY.ANCHOR_LOANS,source_entity_only,100.0,2018-01-01,TRUE,active,FALSE,,anchor,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_068,selene_properties_monthly,Selene Finance Properties,Selene Finance servicer-level property data,selene,ltv,property,monthly,SOURCE_ENTITY.SELENE,source_entity_only,100.0,2018-01-01,TRUE,active,FALSE,,selene,"btr,sf_scattered,townhome,duplex_quadplex,mf_garden,mf_midrise,mf_highrise,mf_tower,mf_skyscraper"
DS_069,preqin_news_daily,Preqin News & Intelligence,Preqin private markets news via SOURCE_PROD.NEWS pipeline,preqin,cap_rate,national,daily,SOURCE_PROD.NEWS,source_prod_only,100.0,2022-01-01,TRUE,active,FALSE,,,
DS_070,education_k12_national,K-12 Public School Data (NCES),NCES public school data. RAW.NCES exists; TRANSFORM.DEV.FACT_STANFORD_SCHOOLS_COUNTY 3.1K rows via Stanford SEDA,education_nces,school_quality,property,annual,TRANSFORM.DEV,transform_dev,99.0,2020-01-01,TRUE,active,FALSE,,,
DS_071,stanford_seda_county,Stanford SEDA School Quality (County),Stanford SEDA educational achievement scores. TRANSFORM.STANFORD.SEDA_ADMINDIST 62.3M rows and TRANSFORM.DEV.FACT_STANFORD_SEDA_COUNTY_SNAPSHOT promoted,education_nces,school_quality,county,annual,TRANSFORM.STANFORD,transform_ready,99.0,2018-01-01,TRUE,active,FALSE,,,
DS_072,nhpd_national,NHPD Affordable Housing Inventory,National Housing Preservation Database federally assisted property inventory,nhpd,vacancy,property,annual,SOURCE_PROD.NHPD,source_prod_only,99.0,2015-01-01,TRUE,active,FALSE,,,
DS_073,cps_county_monthly,CPS Labor Force (County),CPS household demographics and labor at county grain. TRANSFORM.DEV.CLEANED_CPS_COUNTY 21.3M rows; FACT_CPS_COUNTY_RESOLVED 14.2M rows,cps_nber,employment,county,monthly,TRANSFORM.DEV,transform_dev,90.0,2010-01-01,TRUE,active,FALSE,,,
DS_074,lehd_lodes_block_annual,LEHD LODES (Block/H3),U.S. Census Bureau LEHD LODES origin–destination job counts (official LEHD — not Cybersyn). Block-group OD silver TRANSFORM.LODES.OD_BG (~64M rows); semantic read-through TRANSFORM.DEV.FACT_LODES_OD_BG. County GEO_ID columns are attributes of the OD row; analytic grain is residence × workplace block group,lehd,employment,block_group,annual,TRANSFORM.LODES,transform_ready,99.0,2010-01-01,TRUE,active,FALSE,,,
DS_075,onet_occupations_annual,O*NET Occupational Data,O*NET work activities and automation exposure. TRANSFORM.DEV cleaned ONET tables exist,onet,employment,national,annual,TRANSFORM.DEV,transform_dev,100.0,2015-01-01,TRUE,active,FALSE,,,
DS_076,sp_global_rent_vs_own_annual,S&P Global Rent vs Own Cost,S&P Global rent vs own cost at national grain,sp_global,rent,national,annual,SOURCE_PROD.SP_GLOBAL,source_prod_only,100.0,2015-01-01,TRUE,active,FALSE,,,
DS_077,irs_migration_county_annual,IRS SOI Migration (County),Aggregated county net migration and income-quality metrics (pretium-ai-dbt `fact_irs_soi_migration_county` pattern) — **not** yet ported as a single FACT in this repo; use **DS_081** / `FACT_IRS_SOI_ORIGIN_DESTINATION_MIGRATION_ANNUAL_COUNTY` (and **`FACT_IRS_SOI_ORIGIN_DESTINATION_MIGRATION_ANNUAL_CBSA`** when CBSA attribution is required) for Cybersyn OD EAV.,internal,migration,county,annual,TRANSFORM.DEV,transform_dev,99.0,2015-01-01,TRUE,active,FALSE,,,
DS_078,regrid_zoning_pilot,Regrid Zoning (Pilot),Regrid zoning data. TRANSFORM.REGRID.REGRID_ZONING_PILOT 83.5K rows promoted; pilot coverage only,internal,vacancy,property,annual,TRANSFORM.REGRID,transform_ready,5.0,2024-01-01,TRUE,under_review,FALSE,,,
DS_079,cybersyn_hud_housing_timeseries,Cybersyn HUD housing timeseries,HUD-aligned long metrics from GLOBAL_GOVERNMENT.CYBERSYN housing_urban_development_timeseries + attributes; **county** read **`TRANSFORM.DEV.FACT_HUD_HOUSING_SERIES_COUNTY`**; **CBSA** read **`FACT_HUD_HOUSING_SERIES_CBSA`**; all-grain superset **`FACT_HUD_HOUSING_SERIES`**,hud,occupancy,county,monthly,GLOBAL_GOVERNMENT.CYBERSYN,transform_dev,95.0,2000-01-01,TRUE,active,FALSE,,,
DS_080,cybersyn_irs_migration_by_characteristic,Cybersyn IRS migration by characteristic,IRS SOI migration stratified series from SOURCE_SNOW.US_REAL_ESTATE irs_migration_by_characteristic_*; **county** **`TRANSFORM.DEV.FACT_IRS_SOI_MIGRATION_BY_CHARACTERISTIC_ANNUAL_COUNTY`**; **CBSA** **`FACT_IRS_SOI_MIGRATION_BY_CHARACTERISTIC_ANNUAL_CBSA`**; all-grain superset **`FACT_IRS_SOI_MIGRATION_BY_CHARACTERISTIC_ANNUAL`**,irs,migration,county,annual,SOURCE_SNOW.US_REAL_ESTATE,transform_dev,98.0,2012-01-01,TRUE,active,FALSE,,,
DS_081,cybersyn_irs_origin_destination_migration,Cybersyn IRS county OD migration,County-to-county IRS SOI flows from SOURCE_SNOW.US_REAL_ESTATE irs_origin_destination_migration_timeseries; **county** **`TRANSFORM.DEV.FACT_IRS_SOI_ORIGIN_DESTINATION_MIGRATION_ANNUAL_COUNTY`**; **CBSA-attributed** **`FACT_IRS_SOI_ORIGIN_DESTINATION_MIGRATION_ANNUAL_CBSA`**,irs,migration,county,annual,SOURCE_SNOW.US_REAL_ESTATE,transform_dev,98.0,2012-01-01,TRUE,active,FALSE,,,
