concept_id,domain_code,concept_code,description,definition,explanation
CON_011,housing,supply_pipeline,supply_pipeline measures in-flight and planned unit inventory for forward vacancy/rent pressure assessment.,"supply_pipeline is the stable concept for in-flight and planned unit inventory. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not equal delivered inventory and should not double-count stage transitions. Keep by-stage pipeline counts and stage-adjusted indicators separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use supply_pipeline to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume supply_pipeline in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_012,place,crime,crime measures public-safety location condition for location risk filtering.,"crime is the stable concept for public-safety location condition. It is typically modeled at ZIP, county, or CBSA grain as a location-conditioned signal over time. It does not represent housing-market clearing by itself. Keep violent, property, and blended crime variants separate by metric_id.","This concept acts primarily as a location-quality or local-conditions signal. Decision makers use crime to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume crime in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_013,place,school_quality,school_quality measures education service quality signal for household location preference modeling.,"school_quality is the stable concept for education service quality signal. It is typically modeled at ZIP, county, or CBSA grain as a location-conditioned signal over time. It does not represent market rent directly and should not absorb broader amenity composites silently. Keep rating, achievement, and growth-quality variants separate by metric_id.","This concept acts primarily as a location-quality or local-conditions signal. Decision makers use school_quality to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume school_quality in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_014,household,income,income measures household earning power for affordability and rent-support analysis.,"income is the stable concept for household earning power. It is typically modeled at county, CBSA, or state grain with slower demographic update cadence. It does not represent wages, rent, or financing yield concepts. Keep nominal, real, median, and percentile income variants separate by metric_id.","This concept acts primarily as a demand-capacity driver or constraint for housing consumption. Decision makers use income to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume income in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_015,capital,noi,noi measures property operating cash flow before financing for income valuation and debt sizing.,"noi is the stable concept for property operating cash flow before financing. It is typically modeled at property, pool, or market aggregate grain with explicit as_of timing. It does not include debt service, capex, or financing cash flows. Keep in-place, normalized, and stabilized NOI variants separate by metric_id.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use noi to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume noi in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_016,capital,dscr,dscr measures cash flow coverage of debt service for loan risk screening.,"dscr is the stable concept for cash flow coverage of debt service. It is typically modeled at property, pool, or market aggregate grain with explicit as_of timing. It does not replace NOI or debt-term concepts and should not mix underwriting and realized definitions. Keep actual, underwritten, and stressed DSCR variants separate by metric_id.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use dscr to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume dscr in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_017,capital,cap_rate,cap_rate measures market-implied property yield for valuation and underwriting.,"cap_rate is the stable concept for market-implied property yield. It is typically modeled at property, pool, or market aggregate grain with explicit as_of timing. It does not subsume rent or NOI concepts, and it should not be used as a generic price index alias. Keep going-in, stabilized, terminal, and spread variants separate by metric_id.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use cap_rate to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume cap_rate in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_018,capital,ltv,ltv measures loan balance relative to collateral value for leverage and severity management.,"ltv is the stable concept for loan balance relative to collateral value. It is typically modeled at property, pool, or market aggregate grain with explicit as_of timing. It does not replace collateral value concepts and should not mix appraisal and AVM marks implicitly. Keep origination and mark-to-market variants separate by metric_id and value source.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use ltv to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume ltv in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_019,capital,delinquency,delinquency measures past-due credit performance for credit surveillance and loss planning.,"delinquency is the stable concept for past-due credit performance. It is typically modeled at property, pool, or market aggregate grain with explicit as_of timing. It does not encode loss severity directly and should not be conflated with default outcomes. Keep 30/60/90+ buckets, count-based and balance-based rates separate by metric_id.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use delinquency to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume delinquency in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_020,housing,concession,concession measures lease incentive burden for effective-rent truthing.,"concession is the stable concept for lease incentive burden. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not replace rent level and should not be mixed with non-lease incentives. Keep weeks-free and effective-rent-drag variants separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use concession to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume concession in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_021,place,automation,automation measures local task-automation exposure for structural workforce risk screening.,"automation is the stable concept for local task-automation exposure. It is typically modeled at ZIP, county, or CBSA grain as a location-conditioned signal over time. It does not represent realized job loss and should not be treated as household welfare directly. Keep task-exposure and occupation-mix variants separate by metric_id and methodology version.","This concept acts primarily as a location-quality or local-conditions signal. Decision makers use automation to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume automation in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_022,capital,spine,spine draft concept for prototyping.,spine is a draft semantic concept for catalog prototyping. It is used with explicit as_of timing and governed metric_id lineage. It does not represent workflow bundle naming. Variant measures must remain separate metric_code rows.,Draft REFERENCE.DRAFT concept explanation for spine. Replace with approved prose before CATALOG promotion.
CON_023,capital,underwriting,underwriting draft concept for prototyping.,underwriting is a draft semantic concept for catalog prototyping. It is used with explicit as_of timing and governed metric_id lineage. It does not represent workflow bundle naming. Variant measures must remain separate metric_code rows.,Draft REFERENCE.DRAFT concept explanation for underwriting. Replace with approved prose before CATALOG promotion.
CON_024,capital,rates,rates measures benchmark financing curves and spreads for discounting and funding assumptions.,"rates is the stable concept for benchmark financing curves and spreads. It is typically modeled at property, pool, or market aggregate grain with explicit as_of timing. It does not represent cap rates or local affordability directly. Keep tenor, instrument, and spread constructions separate by metric_id.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use rates to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume rates in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_025,capital,inflation,inflation measures economy-wide price level change for real return and stress calibration.,"inflation is the stable concept for economy-wide price level change. It is typically modeled at property, pool, or market aggregate grain with explicit as_of timing. It does not represent local housing appreciation and should not be used as a home-price proxy. Keep CPI, core CPI, and PCE families separate by metric_id and vintage.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use inflation to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume inflation in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_026,household,wages,wages measures worker compensation trajectory for household purchasing-power tracking.,"wages is the stable concept for worker compensation trajectory. It is typically modeled at county, CBSA, or state grain with slower demographic update cadence. It does not replace household income distribution or property cash-flow concepts. Keep wage-level and wage-growth variants separate by metric_id.","This concept acts primarily as a demand-capacity driver or constraint for housing consumption. Decision makers use wages to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume wages in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_027,place,labor,labor measures labor participation and slack structure for local market health interpretation.,"labor is the stable concept for labor participation and slack structure. It is typically modeled at ZIP, county, or CBSA grain as a location-conditioned signal over time. It does not replace employment and unemployment series and should stay narrowly scoped. Keep LFPR, hours, and slack constructs separate by metric_id.","This concept acts primarily as a location-quality or local-conditions signal. Decision makers use labor to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume labor in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_028,housing,transactions,transactions measures residential turnover activity for market activity and discovery context.,"transactions is the stable concept for residential turnover activity. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not replace valuation level concepts and should not mix residential and non-residential scopes. Keep sale counts, sale volume, and transaction medians separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use transactions to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume transactions in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_029,housing,multifamily_market,multifamily_market draft concept for prototyping.,multifamily_market is a draft semantic concept for catalog prototyping. It is used with explicit as_of timing and governed metric_id lineage. It does not represent workflow bundle naming. Variant measures must remain separate metric_code rows.,Draft REFERENCE.DRAFT concept explanation for multifamily_market. Replace with approved prose before CATALOG promotion.
CON_030,housing,listings,listings measures on-market inventory and listing-process timing from MLS and portal feeds.,"listings is the stable concept for active for-sale counts, days on market, and listing-state bands at a stable geo x frequency. It does not represent assessor parcel stock (use housing_stock) or closed sales volumes alone (use transactions). Keep vendor-native series and DOM separate by metric_id.","This concept acts primarily as a housing-market liquidity and discovery signal. Decision makers use listings to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume listings in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_031,housing,housing_stock,housing_stock measures universe housing unit and parcel inventory from tax-roll and assessor fabric.,"housing_stock is the stable concept for structure counts and parcel-unit inventory on or off market. It does not count only MLS-active listings (use listings) and should not silently absorb vacancy rates (use vacancy or occupancy). Keep unit counts, parcel counts, and vintage snapshots separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use housing_stock to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume housing_stock in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_032,portfolio,disposition,disposition measures deal-level exit economics from CRM disposition workflows.,"disposition is the stable concept for list price, contract, net proceeds, and timing fields tied to a disposition record. It is modeled at property grain with deal lifecycle cadence. It does not replace market homeprice indices or listings tightness—use homeprice or listings concepts for market state. Keep list, contract, and realized variants separate by metric_id.","This concept acts primarily in return, leverage, or credit transmission for investment decisions. Decision makers use disposition to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume disposition in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_033,place,pipeline,pipeline groups forward workforce and O*NET-style pipeline indicators used alongside housing supply analytics.,pipeline is the umbrella concept for BLS O*NET and related forward workforce or pipeline indicators that are not unit-level supply_pipeline inventory. It is typically modeled at national to county grain with annual or slower refresh. It does not replace supply_pipeline starts or permits counts—crosswalk explicitly. Keep vendor-native series and SOC vintages separate by metric_id.,"This concept acts primarily as a housing-market or labor-market complement for screening and monitoring. Decision makers use pipeline to contextualize construction and staffing risk with transparent lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume pipeline in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_034,household,education,education captures school-age cohorts attainment and human-capital proxies distinct from school_quality index composites.,education is the stable concept for ACS-style education demographics such as school-age population shares and attainment rates. It is typically modeled at tract county or CBSA grain with annual refresh. It does not replace school_quality index rubrics unless explicitly mapped. Keep cohort and attainment variants separate by metric_id.,"This concept acts primarily as a demand-capacity driver or constraint for housing consumption. Decision makers use education to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume education in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
